epoch;binary_crossentropy;loss;mean_absolute_error;mean_squared_error;val_binary_crossentropy;val_loss;val_mean_absolute_error;val_mean_squared_error
0;0.646528964259;0.0643691034692;0.208112123763;0.0643691014605;0.532874322413;0.0371967113617;0.164407320098;0.0371967116587
1;0.519579060728;0.0323341569459;0.151282973793;0.0323341564379;0.514733796318;0.0328882382989;0.149111024104;0.0328882401421
2;0.490893613116;0.0259691557143;0.133955213509;0.0259691560481;0.494571621137;0.0274605161736;0.134306204354;0.0274605171452
3;0.481869031547;0.0226937193472;0.123055239606;0.0226937186612;0.512141949808;0.0273163142265;0.132181219705;0.0273163141553
4;0.4745952722;0.0207862437836;0.116258234927;0.0207862436084;0.460845744194;0.0196556319541;0.112116600142;0.0196556312177
5;0.456171093637;0.0170230486612;0.103937274558;0.0170230488421;0.457557173032;0.0177035558413;0.103922578998;0.0177035552042
6;0.448771068787;0.015053664142;0.0960537295411;0.0150536640221;0.449527157105;0.0158623952567;0.0967686430511;0.0158623946998
7;0.446379176487;0.0140880258439;0.0912115005742;0.0140880254946;0.441928867147;0.0144893683254;0.0914134671912;0.0144893680052
8;0.446513867161;0.0137561323697;0.0887339149706;0.0137561325487;0.456920270607;0.0166006509549;0.0963882110345;0.016600651911
9;0.441710736086;0.013004845464;0.0853343569265;0.0130048450726;0.443408726197;0.0147906118234;0.0889733565661;0.0147906119398
10;0.436098087175;0.0116676752869;0.0796627192877;0.0116676755066;0.433971458495;0.0127772481159;0.0821778327722;0.0127772492174
11;0.431406890154;0.0108414189218;0.0757497254091;0.0108414187403;0.442607681681;0.0128882850339;0.0815046300025;0.01288828527
12;0.429551858577;0.0104727260454;0.0735734691326;0.0104727261368;0.427994905813;0.0113385746788;0.076040982111;0.0113385759102
13;0.426425525105;0.00977881316966;0.0701775528897;0.0097788129147;0.431621650441;0.0120165775394;0.0753383914319;0.0120165778725
14;0.424657215035;0.00936084609721;0.0678233717943;0.00936084576628;0.43101222125;0.0114070955119;0.0726583240139;0.0114070962978
15;0.436974730894;0.0110525080131;0.0729413727119;0.011052507986;0.44093864825;0.0137705575099;0.0833235146064;0.013770558286
16;0.429255652706;0.0100755948152;0.0693435579925;0.0100755948806;0.427061668563;0.0108166679375;0.0713043984434;0.0108166687234
17;0.424129418785;0.00908726033743;0.0650443059709;0.00908726043661;0.421856089495;0.00993537057204;0.0678626839589;0.00993536983474
18;0.434179267016;0.0101055110725;0.0676590287569;0.0101055110502;0.428999842698;0.010738799497;0.0697573166452;0.0107387990267
19;0.422885997388;0.00893430878372;0.0634991022383;0.00893430883791;0.424880298062;0.00988725251065;0.0664319281673;0.00988725283726
20;0.42021381389;0.00844724386035;0.0611433170252;0.00844724369707;0.420101455973;0.00915670960498;0.063621332182;0.00915670930176
21;0.418214966802;0.00801693971813;0.0589020320347;0.00801693987609;0.423727099266;0.0100640648452;0.0644335703303;0.0100640654564
22;0.418237489694;0.00803443018613;0.0586836205945;0.00803443013872;0.415763919437;0.00842322687003;0.0597402936473;0.0084232268298
23;0.41635772493;0.00759536535806;0.056381251214;0.0075953655465;0.418673054108;0.00872162878578;0.0599857673644;0.00872162883752
24;0.41577878822;0.0074659208293;0.0554882607251;0.00746592067376;0.420594611734;0.00933594424958;0.0605602471214;0.00933594466729
25;0.414403784507;0.00722299456911;0.0541704136811;0.00722299462765;0.422360219165;0.00946065271758;0.0600766428332;0.00946065289706
26;0.413860377197;0.0070923002057;0.0532857380691;0.00709230010023;0.431149938079;0.0113959121997;0.0630288255274;0.0113959118254
27;0.413482470032;0.0069955968402;0.0526597300869;0.00699559684456;0.412666170754;0.00783133914229;0.0558315368059;0.00783133936218
28;0.413256307082;0.00691767991097;0.0519096635301;0.00691767970269;0.413672928794;0.00790986481689;0.0557332032567;0.00790986492054
29;0.413073448252;0.00687509771122;0.051508369858;0.00687509773952;0.415908943551;0.00790647378987;0.0549661921363;0.00790647382382
30;0.412216178504;0.00671520713717;0.0505613267596;0.00671520730335;0.420585537274;0.00939150507472;0.0574769972022;0.00939150507008
31;0.411412513891;0.00658246644857;0.0497644472877;0.00658246651389;0.414624635337;0.0077850000493;0.0533675873238;0.00778500073324
32;0.411099955076;0.00651626075896;0.0492822690714;0.00651626075267;0.414092897676;0.00796919012213;0.0542260619047;0.00796918987925
33;0.411028725993;0.00643805396707;0.0487106171444;0.00643805410229;0.417582859285;0.0082701483431;0.0539470387286;0.00827014783216
34;0.410432627944;0.0063467243188;0.0480524330286;0.00634672432291;0.422503825933;0.00908331443831;0.0555192228295;0.00908331491635
35;0.418566006345;0.00792471703916;0.0555105729382;0.00792471706867;0.415487224029;0.00857934026216;0.0580805077787;0.0085793406114
36;0.41243561449;0.00671173936941;0.0500158803746;0.0067117394415;0.413565109834;0.00742107439953;0.0524124761431;0.00742107447998
37;0.411171096037;0.00641052643708;0.0482647839595;0.00641052652489;0.412392848585;0.00781731745034;0.0528775620559;0.00781731741962
38;0.410285289458;0.00628990496666;0.0473899383437;0.00628990490812;0.417104568394;0.00902530484898;0.0556177580574;0.0090253049681
39;0.414909757856;0.00704749271443;0.0506292009876;0.00704749284361;0.41881164598;0.00920370477898;0.0602892327071;0.00920370489863
40;0.41243866521;0.00679879667552;0.0499796100561;0.00679879664093;0.418763666949;0.00794873889102;0.0521633088514;0.00794873910606
41;0.409888902469;0.00625564111421;0.0469616993139;0.00625564114203;0.414775102089;0.00765213456341;0.0512657358647;0.00765213480271
42;0.41438678678;0.0071601951565;0.0514560991197;0.00716019506723;0.413750447704;0.00802502865312;0.0538577158066;0.00802502840405
