KSPopt,0.9,0.89,0.92,True,0.7,0.65,0.76,False,0.81,0.8,0.82,False,0.63,0.54,0.76,True,True,0.76,0.1,0.72,0.14,0.81,0.07
KSP,0.8,0.94,0.7,False,0.71,0.65,0.77,True,0.84,0.8,0.88,True,0.63,0.68,0.59,False,False,0.74,0.08,0.77,0.11,0.74,0.1
vilar,0.66,0.81,0.55,False,0.5,0.74,0.37,False,0.56,0.83,0.42,False,0.41,0.74,0.29,False,False,0.53,0.09,0.78,0.04,0.41,0.1
gaze2,0.05,0.03,1.0,False,0.06,0.03,1.0,False,0.1,0.05,1.0,False,0.09,0.05,1.0,False,False,0.07,0.02,0.04,0.01,1.0,0.0
mic17,0.6,0.53,0.67,False,0.35,0.24,0.6,False,0.7,0.63,0.78,False,0.43,0.35,0.54,False,False,0.52,0.14,0.44,0.15,0.65,0.09
wtp,0.43,0.0,0.0,False,0.66,0.0,0.0,False,0.56,0.0,0.0,False,0.6,0.63,0.57,False,False,0.56,0.08,0.16,0.27,0.14,0.25
