KSPopt,0.72,0.6,0.9,True,0.73,0.63,0.87,True,0.74,0.59,0.97,True,0.93,0.96,0.9,True,True,0.78,0.09,0.7,0.15,0.91,0.04
KSP,0.71,0.56,0.96,False,0.72,0.64,0.82,False,0.74,0.6,0.97,False,0.92,0.99,0.86,False,False,0.77,0.08,0.7,0.17,0.9,0.06
vilar,0.09,0.09,0.09,False,0.4,0.28,0.72,False,0.65,0.69,0.62,False,0.35,0.49,0.27,False,False,0.37,0.2,0.39,0.23,0.43,0.26
gaze2,0.02,0.01,1.0,False,0.01,0.01,1.0,False,0.02,0.01,1.0,False,0.02,0.01,1.0,False,False,0.02,0.0,0.01,0.0,1.0,0.0
mic17,0.54,0.53,0.55,False,0.69,0.71,0.67,False,0.64,0.59,0.68,False,0.48,0.45,0.51,False,False,0.59,0.08,0.57,0.09,0.6,0.08
wtp,0.37,0.0,0.0,False,0.48,0.0,0.0,False,0.67,0.0,0.0,False,0.51,0.0,0.0,False,False,0.51,0.11,0.0,0.0,0.0,0.0
