rep;DATASET_NBR;FEAT_EXTR_ALGORITHM;GROUND_TRUTH_TRESHOLD;KFOLDS;NBR_OF_SUPERPIXELS;PATCH_HEIGHT;PATCH_WIDTH;RANDOM_SEED;RF_MAX_DEPTH;RF_NBR_TREES;UNET_ADAGRAD_DECAY;UNET_ADAGRAD_EPSILON;UNET_ADAGRAD_LEARNING_RATE;UNET_ADAMAX_BETA1;UNET_ADAMAX_BETA2;UNET_ADAMAX_DECAY;UNET_ADAMAX_EPSILON;UNET_ADAMAX_LEARNING_RATE;UNET_ADAM_BETA1;UNET_ADAM_BETA2;UNET_ADAM_DECAY;UNET_ADAM_EPSILON;UNET_ADAM_LEARNING_RATE;UNET_BATCHSIZE;UNET_CURR_TRIAL;UNET_DATA_GAUSSIAN_NOISE_STD;UNET_DATA_HEIGHT_SHIFT;UNET_DATA_ROT_RANGE;UNET_DATA_SHEAR_RANGE;UNET_DATA_STEPS_PER_EPOCH;UNET_DATA_USE_GENERATOR;UNET_DATA_WIDTH_SHIFT;UNET_GAZE_FREEZE_ENCODER;UNET_GAZE_FREEZE_LAYER;UNET_GAZE_FREEZE_WEIGHT_FILE;UNET_GAZE_GAUSSIAN_STD;UNET_GAZE_VIDEO_NAME;UNET_LOSS;UNET_MODEL_NBR;UNET_NBR_EPOCHS;UNET_OPTIMIZER;UNET_SAVE_EPOCH_INTERVAL;UNET_SAVE_ONLY_BEST_WEIGHT;UNET_SGD_DECAY;UNET_SGD_LEARNING_RATE;UNET_SGD_MOMENTUM;UNET_SGD_NESTEROV;UNET_VALIDATION_SPLIT;acc_@_f1_score_max;accuracy;f1_max_px_lvl;f1_score;f1_score_max;pre_@_f1_score_max;pre_px_lvl;precision;rec_@_f1_score_max;rec_px_lvl;recall;th_@_f1_score_max
0;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;0.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998143225347;0.996013495151;0.8347826086956521;0.876037331637;0.955661318314;0.975592055004;0.8637384696267266;1.0;0.937087290819;0.8077052001162037;0.781546811398;0.333333333333
1;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;1.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998634640724;0.994811831662;0.8475736961451247;0.83314163075;0.970886178396;0.976804177868;0.860233366320683;1.0;0.966802351877;0.8352812353348679;0.715422885572;0.272
2;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;2.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998743989981;0.994702676307;0.8490622444087205;0.829894940511;0.972622350837;0.976612557591;0.85733650768337;1.0;0.970058796924;0.8409461663947798;0.709588421529;0.265333333333
3;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;3.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998470840585;0.996122501415;0.8482975615237667;0.879943168541;0.963487304647;0.975773468321;0.853167875952171;1.0;0.952057892356;0.8434825359225905;0.787426503844;0.272
4;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;4.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998416330006;0.994047296708;0.8442975845850229;0.805582963549;0.965110854544;0.981908638625;0.8597838551621086;0.995833333333;0.949118046133;0.8293593152919618;0.676616915423;0.288
5;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;5.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998689255721;0.994648106112;0.848643583693652;0.826620233541;0.972138380108;0.963893315018;0.8575404973762263;1.0;0.981953867028;0.8399293838968469;0.706829488919;0.266666666667
6;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;6.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998580204719;0.995904324878;0.8452062786498125;0.87223520307;0.968036978701;0.955163534395;0.8406335311736685;1.0;0.982044323835;0.8498290464591387;0.775667118951;0.290666666667
7;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;7.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998634745142;0.994047281798;0.8500244803489563;0.80497471555;0.971980800164;0.959327622029;0.8465391520202132;1.0;0.985074626866;0.8535386265614874;0.673631840796;0.241333333333
8;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;8.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998143270077;0.994265920632;0.8432360608295657;0.812350109462;0.955175442841;0.956135562596;0.8498632437892252;1.0;0.95499773858;0.8367114348923999;0.685888738128;0.254666666667
9;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;9.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998416285252;0.995357966446;0.8457439099169407;0.854063488705;0.962141716595;0.959500346374;0.8438904463133537;0.996153846154;0.967118950701;0.8476055330845382;0.748575305292;0.269333333333
10;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;0.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.997979529569;0.992135892197;0.8363999025346653;0.724518310494;0.951627400495;0.960927960928;0.8485311871227365;1.0;0.943147896879;0.8246106058235938;0.568973315242;0.253333333333
11;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;1.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998361595721;0.993501132153;0.8467502094190799;0.781857443353;0.960719464176;0.964124935791;0.8521301272984442;1.0;0.957937584803;0.8414377974926814;0.643781094527;0.249333333333
12;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;2.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.997760846022;0.995030216978;0.8406398470664305;0.841498564907;0.946137526157;0.944510285106;0.846067657344636;1.0;0.94907281773;0.8352812353348679;0.727408412483;0.28
13;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;3.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998634745118;0.994593535845;0.8472007527387593;0.825966294242;0.971445958971;0.973118416111;0.8493318360471646;0.995348837209;0.970013568521;0.8450803369907708;0.706648575305;0.265333333333
14;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;4.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.997979365519;0.993337361817;0.8387613187252989;0.775974702213;0.952720685694;0.943099115907;0.8345630122894152;1.0;0.96395296246;0.8430020782587321;0.63487109905;0.245333333333
15;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;5.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.998143225355;0.993719532347;0.8459058743003499;0.790691234747;0.957612027779;0.937376539657;0.83591159015535;1.0;0.979104477612;0.8561420366935574;0.655585707825;0.244
16;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;6.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.997706186311;0.994757097426;0.8351357415301772;0.832860151042;0.941286691117;0.947960551109;0.8385033002185127;0.987555555556;0.936951605608;0.8317951239133835;0.721438263229;0.276
17;11.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;16.0;7.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.997597075702;0.994265786402;0.8259748315690926;0.812112879678;0.942383987724;0.960562558357;0.8498386696450733;1.0;0.925192220715;0.8034146014436077;0.68566259611;0.294666666667
