rep;DATASET_NBR;FEAT_EXTR_ALGORITHM;GROUND_TRUTH_TRESHOLD;KFOLDS;NBR_OF_SUPERPIXELS;PATCH_HEIGHT;PATCH_WIDTH;RANDOM_SEED;RF_MAX_DEPTH;RF_NBR_TREES;UNET_ADAGRAD_DECAY;UNET_ADAGRAD_EPSILON;UNET_ADAGRAD_LEARNING_RATE;UNET_ADAMAX_BETA1;UNET_ADAMAX_BETA2;UNET_ADAMAX_DECAY;UNET_ADAMAX_EPSILON;UNET_ADAMAX_LEARNING_RATE;UNET_ADAM_BETA1;UNET_ADAM_BETA2;UNET_ADAM_DECAY;UNET_ADAM_EPSILON;UNET_ADAM_LEARNING_RATE;UNET_BATCHSIZE;UNET_CURR_TRIAL;UNET_DATA_GAUSSIAN_NOISE_STD;UNET_DATA_HEIGHT_SHIFT;UNET_DATA_ROT_RANGE;UNET_DATA_SHEAR_RANGE;UNET_DATA_STEPS_PER_EPOCH;UNET_DATA_USE_GENERATOR;UNET_DATA_WIDTH_SHIFT;UNET_GAZE_FREEZE_ENCODER;UNET_GAZE_FREEZE_LAYER;UNET_GAZE_FREEZE_WEIGHT_FILE;UNET_GAZE_GAUSSIAN_STD;UNET_GAZE_VIDEO_NAME;UNET_LOSS;UNET_MODEL_NBR;UNET_NBR_EPOCHS;UNET_OPTIMIZER;UNET_SAVE_EPOCH_INTERVAL;UNET_SAVE_ONLY_BEST_WEIGHT;UNET_SGD_DECAY;UNET_SGD_LEARNING_RATE;UNET_SGD_MOMENTUM;UNET_SGD_NESTEROV;UNET_VALIDATION_SPLIT;acc_@_f1_score_max;accuracy;f1_max_px_lvl;f1_score;f1_score_max;pre_@_f1_score_max;pre_px_lvl;precision;rec_@_f1_score_max;rec_px_lvl;recall;th_@_f1_score_max
0;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;0.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999239334022;0.999125251118;0.9041591827758322;0.966505551126;0.978411603898;0.988768115942;0.9483868615492916;0.988315565032;0.968651911469;0.8638727873308485;0.945915492958;0.514666666667
1;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;1.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999277421917;0.998935122587;0.9074975670025208;0.959135053631;0.980257635922;0.974912945345;0.9325017857383523;0.979586442786;0.985794768612;0.8837992637422434;0.94032193159;0.350666666667
2;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;2.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999239334022;0.999125251118;0.905209498351458;0.966754169457;0.978386194785;0.986111111111;0.938011490820221;0.979906156305;0.971509054326;0.8746241432253812;0.954486921529;0.456
3;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;3.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999353482004;0.999429563788;0.9097670191889792;0.978121645906;0.982957020659;0.983016942233;0.9389358734922564;0.993981900452;0.982977867203;0.8823558715406488;0.963138832998;0.396
4;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;4.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999125236652;0.999011168211;0.9029077234139241;0.962333113365;0.973298002512;0.96720584263;0.9319938218226711;0.979623675557;0.980040241449;0.8755821468990059;0.945915492958;0.330666666667
5;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;5.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999087242767;0.998973116475;0.9068709983322113;0.960379023008;0.97280120371;0.977372833191;0.9401799523929665;0.988227424749;0.968732394366;0.8758414465600004;0.93444668008;0.409333333333
6;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;6.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999429563793;0.999239449725;0.9086968670918043;0.970753619738;0.985775075988;0.985754527163;0.9339551916812289;0.985135997142;0.98583501006;0.8847687634599516;0.957505030181;0.392
7;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;7.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999087199376;0.998935079201;0.9034587983898629;0.95862763202;0.974464707869;0.969004161958;0.9302931067146607;0.982412504341;0.980040241449;0.8781291593326164;0.93722334004;0.286666666667
8;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;8.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999315401339;0.999315401339;0.9087968145677059;0.973984708662;0.981534661495;0.980591463545;0.9397017556065771;0.988795747291;0.982897384306;0.8798599526362983;0.960040241449;0.389333333333
9;9.0;unet_gaze;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;9.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;0.0;enc_3;./datasets/11/unet/000/weights.h5;6.0;video1.csv;bce;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999011081434;0.998858954021;0.9028525375364062;0.956540658115;0.970514400126;0.967434763379;0.9268848537683622;0.974979700324;0.974325955734;0.8800349479740138;0.940160965795;0.369333333333
