epoch;binary_crossentropy;loss;mean_absolute_error;mean_squared_error;val_binary_crossentropy;val_loss;val_mean_absolute_error;val_mean_squared_error
0;0.328392764462;0.328392765816;0.26519828325;0.0842462278399;0.206451559483;0.206451566809;0.184782252508;0.0363046843373
1;0.185388441937;0.18538844916;0.168031389009;0.029498062068;0.167674279979;0.16767427258;0.153063879711;0.0248064785458
2;0.152160139835;0.152160136808;0.140417298899;0.0204414444126;0.143201931172;0.143201936519;0.13279514584;0.0184429910566
3;0.129901253337;0.129901254359;0.121347119568;0.0152283438687;0.122496392112;0.122496390974;0.114721715088;0.0137693068213
4;0.113094038979;0.113094038112;0.106616842971;0.0117176433856;0.107463637187;0.107463637014;0.101598770912;0.0106910523089
5;0.100795927922;0.100795929444;0.0956337770974;0.00941575044065;0.1014668949;0.101466894641;0.0960847714709;0.00978488747367
6;0.0909565766717;0.0909565783244;0.0867175392942;0.00775210032506;0.086536636508;0.086536636211;0.0826528655285;0.0070753184602
7;0.0804732950399;0.0804732965842;0.0771326773043;0.0061246451692;0.0765417571852;0.0765417547276;0.0734770305248;0.00562104431123
8;0.0714577147287;0.0714577155763;0.0688079735404;0.00486717668471;0.0680086281757;0.0680086252796;0.0655812763197;0.00445099548588
9;0.0642337148201;0.0642337157819;0.0620727846684;0.00395559469552;0.0613901100716;0.0613901120119;0.0594277104699;0.00358602337413
10;0.0578655289288;0.0578655285495;0.0560900237769;0.00322853996515;0.0551529918175;0.0551529888348;0.0535286608279;0.00294117883785
11;0.0522574289743;0.0522574290304;0.0507883223717;0.00264593934701;0.050055154457;0.0500551529824;0.0486891799632;0.00244703859385
12;0.047276061752;0.0472760621313;0.0460522579973;0.00217602151555;0.0454144778962;0.0454144774259;0.0442632401603;0.00203340483189
13;0.0428292052177;0.0428292039733;0.0418034729516;0.00179364248741;0.041092232413;0.0410922346249;0.0401347100916;0.00166053140897
14;0.0388475140194;0.0388475143735;0.0379830831309;0.00148044277684;0.0374121333401;0.0374121312114;0.0365924179257;0.00139051946917
15;0.035406028996;0.0354060297198;0.0346670133901;0.00123486205669;0.0337419237217;0.0337419230491;0.0330655466532;0.00111332451464
16;0.032092582835;0.0320925827199;0.0314647313711;0.00101602573743;0.0305958450261;0.0305958471425;0.0300131047398;0.000926049546288
17;0.0291946526423;0.0291946526307;0.0286544427179;0.00084206715964;0.0278673463941;0.0278673459543;0.0273635971308;0.000768779858441
18;0.0266233831654;0.0266233829951;0.0261531730393;0.000701946385973;0.0254492754383;0.0254492738912;0.025006021636;0.000646165455692
19;0.0242932886988;0.0242932882818;0.023880976124;0.000585017879947;0.0232639799684;0.0232639803241;0.022873422907;0.000539592136597
20;0.0221950255083;0.0221950255615;0.0218300071378;0.00048859199441;0.0212805968929;0.0212805984276;0.0209329893373;0.000451723629886
21;0.0203164572182;0.0203164571127;0.0199894853933;0.000410016978873;0.01946965898;0.0194696594909;0.0191574809206;0.000378238272383
22;0.018608066219;0.0186080659771;0.0183129382521;0.000343690165409;0.0178781009443;0.0178781018416;0.0175916542519;0.000322381124899
23;0.0170723792243;0.0170723793965;0.0168027160433;0.000289649590729;0.0163998667008;0.0163998660994;0.0161392932835;0.000268973906309
24;0.0156682914907;0.0156682915797;0.0154199410728;0.00024378692097;0.0150399684281;0.0150399681837;0.0147998957304;0.000225100318296
25;0.0143983071278;0.0143983070059;0.0141671967811;0.000205839045169;0.0138349822179;0.0138349828356;0.013610961805;0.000189987616219
26;0.0132457516241;0.0132457518374;0.0130288441948;0.000174046652203;0.012774360162;0.0127743595772;0.0125586851051;0.000166184054867
27;0.0121957367828;0.012195736733;0.0119903371101;0.000147449402902;0.0119142479153;0.0119142485783;0.0117085630126;0.000145560827857
28;0.0112386056282;0.0112386054323;0.0110426266424;0.00012498474791;0.0108029681082;0.0108029682257;0.0106112559874;0.00011506245038
29;0.01036707423;0.0103670742043;0.0101787285279;0.000106176645582;0.00999231148227;0.00999231037955;0.00980684456105;9.86746419282e-05
30;0.00956938504157;0.0095693850914;0.00938710681272;9.03240195438e-05;0.00936827385656;0.00936827297783;0.00918575680731;8.84939992914e-05
31;0.00884352850595;0.00884352866802;0.00866614658047;7.69914657236e-05;0.00851534933382;0.00851534850921;0.00833906617805;7.18248768408e-05
32;0.00817691326238;0.00817691327351;0.00800331706181;6.56786025653e-05;0.00788334070201;0.00788334087218;0.00771036187645;6.14766912596e-05
33;0.00756763771201;0.00756763767862;0.00739702444741;5.6093893881e-05;0.00729288626947;0.00729288615144;0.00712355180359;5.1975443916e-05
34;0.00700712458533;0.00700712454227;0.00683882190519;4.79477465791e-05;0.00678737896133;0.00678737891027;0.00661957666179;4.51825986704e-05
35;0.00649244745008;0.0064924474375;0.00632581344794;4.10262080852e-05;0.00628259755386;0.0062825979209;0.0061166274924;3.83082840219e-05
36;0.00602159767932;0.00602159765271;0.00585609605294;3.5153108429e-05;0.005821701198;0.00582170142851;0.00565551101165;3.31943726309e-05
37;0.0055869127931;0.00558691280301;0.00542210980064;3.01406189158e-05;0.00538868704461;0.00538868658865;0.00522371403026;2.81060126402e-05
38;0.00518805727532;0.00518805737256;0.00502365723397;2.58638070369e-05;0.00502613009545;0.00502613024242;0.00486157196992;2.43403753553e-05
39;0.0048203532076;0.00482035330993;0.00465597073705;2.22252520713e-05;0.00465389350009;0.00465389370543;0.00448906808257;2.07362873223e-05
40;0.00448410775271;0.00448410779963;0.00431955358401;1.91393096252e-05;0.00432696441294;0.00432696422729;0.00416168432212;1.78586478343e-05
41;0.00416999062281;0.00416999066152;0.0040049814607;1.64445847811e-05;0.00403203288766;0.00403203293778;0.00386662867984;1.53659972979e-05
42;0.00388204335441;0.00388204339251;0.00371644469039;1.41651951887e-05;0.00375031655503;0.00375031656508;0.00358444116809;1.31555243358e-05
43;0.00361651061599;0.00361651066642;0.00345019027603;1.22076937519e-05;0.00350036789799;0.00350036787374;0.00333368337548;1.13936907711e-05
44;0.00337119621455;0.00337119626039;0.00320400211658;1.05267749039e-05;0.00326196763949;0.00326196742832;0.00309358526987;9.91580130832e-06
45;0.00314382224598;0.00314382230815;0.00297559823913;9.08192396215e-06;0.00304540198219;0.00304540179786;0.00287618691234;8.54637049328e-06
46;0.00293476001396;0.00293476008508;0.00276547299238;7.8467803414e-06;0.0028390441472;0.00283904400874;0.00266867177406;7.36567792947e-06
47;0.00274063039765;0.00274063044107;0.00257015832204;6.78069134594e-06;0.0026666257642;0.00266662583615;0.00249542760301;6.42958875119e-06
48;0.00256101265792;0.00256101266312;0.00238938083267;5.85884819979e-06;0.00247966703662;0.00247966702501;0.00230722868137;5.4770982291e-06
49;0.0023948939597;0.00239489398873;0.00222197109894;5.06713914251e-06;0.00233153120401;0.00233153136812;0.00215770419729;4.81486270113e-06
50;0.00224094800869;0.00224094802647;0.00206667580884;4.3862815815e-06;0.00217220992193;0.00217220972778;0.00199705338186;4.11346297711e-06
51;0.00209800483344;0.00209800480103;0.00192242036688;3.79505501958e-06;0.00203468577173;0.0020346856828;0.0018585604335;3.54177455759e-06
52;0.0019653981635;0.00196539817402;0.00178841931419;3.28528703655e-06;0.0019127339793;0.00191273389112;0.00173517513828;3.10169050401e-06
53;0.00184319284327;0.00184319277451;0.00166478575866;2.84851382346e-06;0.00179078500878;0.00179078499423;0.00161103236759;2.69380219385e-06
54;0.00172965434882;0.00172965432257;0.00154976343742;2.46976704549e-06;0.00167918761425;0.0016791875953;0.00149867436547;2.30821940681e-06
55;0.0016239382932;0.00162393826858;0.00144260212688;2.14057960131e-06;0.00159186617182;0.00159186620901;0.00141018370899;2.06463862816e-06
56;0.00152607026516;0.00152607030574;0.00134326030295;1.85686820974e-06;0.00150990975437;0.00150990975824;0.00132634160395;1.87727353718e-06
57;0.00143532071293;0.00143532073379;0.00125105374196;1.61149294766e-06;0.00140005222824;0.0014000522727;0.00121475678477;1.53144437299e-06
58;0.0013510503889;0.00135105036677;0.00116525058223;1.39941939991e-06;0.00133080942637;0.00133080926547;0.00114385254157;1.39165031494e-06
59;0.00127260292493;0.00127260290697;0.0010853299527;1.21472443141e-06;0.00123998947957;0.0012399893765;0.00105219714856;1.14092451595e-06
60;0.00119984392512;0.00119984393329;0.0010111023674;1.05517116044e-06;0.00116929002733;0.00116928999484;0.000979697695342;9.95197876025e-07
