KSPopt,0.59,0.6,0.59,False,0.66,0.67,0.65,True,0.69,0.7,0.69,True,0.59,0.59,0.59,False,False,0.64,0.04,0.64,0.05,0.63,0.04
KSP,0.69,0.73,0.67,True,0.66,0.69,0.62,False,0.65,0.85,0.52,False,0.63,0.73,0.55,True,True,0.66,0.02,0.75,0.06,0.59,0.06
vilar,0.16,0.55,0.09,False,0.15,0.56,0.09,False,0.09,0.05,1.0,False,0.16,0.53,0.09,False,False,0.14,0.03,0.42,0.22,0.32,0.39
gaze2,0.07,0.04,1.0,False,0.04,0.02,1.0,False,0.09,0.05,1.0,False,0.07,0.04,1.0,False,False,0.07,0.02,0.04,0.01,1.0,0.0
mic17,0.1,0.05,0.81,False,0.05,0.02,0.29,False,0.18,0.11,0.47,False,0.15,0.09,0.64,False,False,0.12,0.05,0.07,0.03,0.55,0.19
wtp,0.33,0.26,0.46,False,0.24,0.0,0.0,False,0.32,0.22,0.58,False,0.33,0.23,0.58,False,False,0.3,0.04,0.18,0.1,0.41,0.24
