,0.25,0.5,0.75,1.0
Tweezer,0.9172631817638613,0.9287820131367394,0.9067227336370769,0.7523019505819749
Brain,0.8787596948400322,0.8947763944234496,0.8678095059095343,0.6815152693696703
Slitlamp,0.894040387706429,0.9057194513082751,0.8932953574791507,0.3151069747127463
Cochlea,0.8638618199762503,0.8800756104275002,0.8543597338646483,0.510757849958483
