rep;DATASET_NBR;FEAT_EXTR_ALGORITHM;GROUND_TRUTH_TRESHOLD;KFOLDS;NBR_OF_SUPERPIXELS;PATCH_HEIGHT;PATCH_WIDTH;RANDOM_SEED;RF_MAX_DEPTH;RF_NBR_TREES;UNET_ADAGRAD_DECAY;UNET_ADAGRAD_EPSILON;UNET_ADAGRAD_LEARNING_RATE;UNET_ADAMAX_BETA1;UNET_ADAMAX_BETA2;UNET_ADAMAX_DECAY;UNET_ADAMAX_EPSILON;UNET_ADAMAX_LEARNING_RATE;UNET_ADAM_BETA1;UNET_ADAM_BETA2;UNET_ADAM_DECAY;UNET_ADAM_EPSILON;UNET_ADAM_LEARNING_RATE;UNET_BATCHSIZE;UNET_CURR_TRIAL;UNET_DATA_GAUSSIAN_NOISE_STD;UNET_DATA_HEIGHT_SHIFT;UNET_DATA_ROT_RANGE;UNET_DATA_SHEAR_RANGE;UNET_DATA_STEPS_PER_EPOCH;UNET_DATA_USE_GENERATOR;UNET_DATA_WIDTH_SHIFT;UNET_LOSS;UNET_MODEL_NBR;UNET_NBR_EPOCHS;UNET_OPTIMIZER;UNET_SAVE_EPOCH_INTERVAL;UNET_SAVE_ONLY_BEST_WEIGHT;UNET_SGD_DECAY;UNET_SGD_LEARNING_RATE;UNET_SGD_MOMENTUM;UNET_SGD_NESTEROV;UNET_VALIDATION_SPLIT;acc_@_f1_score_max;accuracy;f1_max_px_lvl;f1_score;f1_score_max;pre_@_f1_score_max;pre_px_lvl;precision;rec_@_f1_score_max;rec_px_lvl;recall;th_@_f1_score_max
0;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;0.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.99951658025;0.999409150833;0.8614212787155486;0.964026340309;0.981051587302;0.984269540943;0.8578186666499745;0.993202764977;0.978125;0.8650542784415404;0.937202380952;0.317333333333
1;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;1.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999623995239;0.999462860129;0.8623317597428686;0.967503362198;0.985800802879;0.987448870574;0.8576115475322738;0.996610169492;0.984275793651;0.8671042187107943;0.940277777778;0.366666666667
2;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;2.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999543425882;0.999462867343;0.8578042880443776;0.967740886441;0.985773824408;0.990671550672;0.85661902985838;0.993442622951;0.981101190476;0.8589928307323763;0.943501984127;0.373333333333
3;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;3.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999570311184;0.999489727402;0.8599240515670546;0.969442663569;0.984093565162;0.987644230769;0.8556216234794917;0.990268019776;0.98125;0.8642699671914872;0.949801587302;0.304
4;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;4.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999435982039;0.999409129195;0.8581401453432689;0.963925496515;0.976593695019;0.978863745787;0.857309585985957;0.993042952208;0.974900793651;0.8589723155487733;0.937103174603;0.333444444444
5;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;5.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999731424655;0.999436003678;0.8636233199705063;0.965823603994;0.992073418355;0.993846153846;0.8558824258730031;0.996551724138;0.990476190476;0.8715055146391616;0.937152777778;0.264
6;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;6.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999436003675;0.99938227995;0.8597494612825063;0.962399228544;0.98151276291;0.969869402985;0.8496006927591568;0.990052792442;0.99375;0.8701436220661315;0.936904761905;0.234666666667
7;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;7.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999489712975;0.999436014496;0.8582877739384739;0.965926739304;0.979689203193;0.972456758137;0.8444752279874334;0.990095338983;0.987351190476;0.8725596794581466;0.943452380952;0.204
8;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;8.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999570285939;0.999516580247;0.8640445354675584;0.971018315787;0.984372901509;0.978499278499;0.8541455614714349;0.993387978142;0.990575396825;0.8741756446896447;0.949702380952;0.273333333333
9;12.0;unet;0.5;5.0;200.0;32.0;32.0;0.0;0.0;150.0;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;0.9;0.999;0.0;1e-08;0.0001;4.0;9.0;13.0;0.2;11.25;22.5;2000.0;1.0;0.2;mse;5.0;100.0;adam;10.0;0.0;0.0;0.0001;0.0;0.0;0.0;0.999623995237;0.999570282334;0.862703740414864;0.974109730738;0.987374234035;0.987734487734;0.8560789109346278;1.0;0.987450396825;0.8694319030042119;0.949652777778;0.350666666667
