rep;DATASET_NBR;FEAT_EXTR_ALGORITHM;GROUND_TRUTH_TRESHOLD;KFOLDS;NBR_OF_SUPERPIXELS;PATCH_HEIGHT;PATCH_WIDTH;RANDOM_SEED;RF_MAX_DEPTH;RF_NBR_TREES;UNET_ADAGRAD_DECAY;UNET_ADAGRAD_EPSILON;UNET_ADAGRAD_LEARNING_RATE;UNET_ADAMAX_BETA1;UNET_ADAMAX_BETA2;UNET_ADAMAX_DECAY;UNET_ADAMAX_EPSILON;UNET_ADAMAX_LEARNING_RATE;UNET_ADAM_BETA1;UNET_ADAM_BETA2;UNET_ADAM_DECAY;UNET_ADAM_EPSILON;UNET_ADAM_LEARNING_RATE;UNET_BATCHSIZE;UNET_CURR_TRIAL;UNET_DATA_GAUSSIAN_NOISE_STD;UNET_DATA_HEIGHT_SHIFT;UNET_DATA_ROT_RANGE;UNET_DATA_SHEAR_RANGE;UNET_DATA_STEPS_PER_EPOCH;UNET_DATA_USE_GENERATOR;UNET_DATA_WIDTH_SHIFT;UNET_LOSS;UNET_MODEL_NBR;UNET_NBR_EPOCHS;UNET_OPTIMIZER;UNET_SAVE_EPOCH_INTERVAL;UNET_SAVE_ONLY_BEST_WEIGHT;UNET_SGD_DECAY;UNET_SGD_LEARNING_RATE;UNET_SGD_MOMENTUM;UNET_SGD_NESTEROV;UNET_VALIDATION_SPLIT;acc_@_f1_score_max;accuracy;f1_max_px_lvl;f1_score;f1_score_max;pre_@_f1_score_max;pre_px_lvl;precision;rec_@_f1_score_max;rec_px_lvl;recall;th_@_f1_score_max
85;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;5;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9973787202;0.9956857308;0.8263204195;0.8684089003;0.9347662583;0.9649884572;0.8453366059;0.9737509532;0.9071460877;0.808140964;0.7843962008;0.372
86;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;6;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9971056454;0.9956858949;0.8207077893;0.8703255667;0.9275689251;0.9371026419;0.8363881026;0.960109048;0.9192672999;0.8056045945;0.7966530981;0.3626666667
87;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;7;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9955765009;0.9948118317;0.7860779539;0.8421362858;0.8841374157;0.894815092;0.7988417567;0.9453308271;0.8803256445;0.7737156138;0.7605156038;0.36
88;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;8;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.997214756;0.9961224716;0.8185738834;0.8846532778;0.9300640339;0.9303178424;0.822815534;0.9610556408;0.9310266848;0.8143757402;0.82039801;0.3586666667
89;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;9;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9965594211;0.9952486619;0.8041169448;0.8532526801;0.9118492994;0.9110153159;0.8145469135;0.9638590766;0.9131614654;0.7939507028;0.7692899141;0.316
90;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;0;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9962864358;0.9949209572;0.7980853685;0.8413573807;0.8996022428;0.9349482586;0.844665161;0.9697423682;0.8681139756;0.7563744441;0.745183175;0.36
91;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;2;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9972694903;0.9966141703;0.8163750208;0.8993900566;0.9291256914;0.9531730168;0.8392787605;0.9764347309;0.9072365446;0.7946881495;0.8354590683;0.384
92;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;3;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9955218412;0.9947572316;0.7831088469;0.8366359814;0.877773545;0.9227306586;0.8165797453;0.9671532443;0.8383084577;0.7522737938;0.7395296246;0.3906666667
93;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;4;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9960680356;0.9955219456;0.8002176644;0.863980996;0.8993225146;0.9338208425;0.8302720884;0.9668809719;0.8682496608;0.7722630673;0.7815920398;0.38
94;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;5;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.996013361;0.9953033963;0.8013668983;0.8577937951;0.8941410432;0.9125930235;0.8172672568;0.9363726766;0.8772953415;0.7860734318;0.7935775667;0.3893333333
95;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;6;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9961771909;0.994975781;0.8010224487;0.8432222363;0.9013362266;0.9189027162;0.8322272941;0.9726230291;0.8861601085;0.772073119;0.7455450023;0.3653333333
96;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;7;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.994866208;0.9944839927;0.7755155926;0.8301595938;0.8618339088;0.8762084339;0.7973890155;0.9387661393;0.8500678426;0.7548101634;0.745183175;0.34
97;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;8;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9971055261;0.996013182;0.8238609836;0.879335241;0.9271387948;0.9438533114;0.839939166;0.9754761905;0.9130257802;0.8083867796;0.8021709634;0.332
98;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;9;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9964501614;0.9950849512;0.8175821217;0.848451821;0.9106167535;0.9057786697;0.820916034;0.9662192063;0.9160108548;0.8142751793;0.7574853008;0.308
99;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9961953611;0.9952972898;0.8019038828;0.8555919002;0.9000989689;0.9224454368;0.8265038357;0.9632965064;0.8804965074;0.7790242364;0.771747324;0.361037037
